unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
8A78B2AF-BF22-5CB0-E053-6B04A8C0F504,295000,05/04/2019,LE16 7FU,S,Y,F,1,LANGDALE,THORPE LANGTON,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BF22-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BED9-5CB0-E053-6B04A8C0F504,295000,04/04/2019,LE16 7FU,S,Y,F,2,LANGDALE,THORPE LANGTON,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BED9-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BF4B-5CB0-E053-6B04A8C0F504,715000,26/04/2019,LE16 7FU,D,Y,F,4,LANGDALE,THORPE LANGTON,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BF4B-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BF04-5CB0-E053-6B04A8C0F504,295000,12/04/2019,LE16 7GD,F,Y,L,23,AVON HOUSE,WELLAND PLACE,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BF04-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BF19-5CB0-E053-6B04A8C0F504,309950,05/04/2019,LE16 7GD,F,Y,L,26,AVON HOUSE,WELLAND PLACE,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BF19-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BF61-5CB0-E053-6B04A8C0F504,294950,15/04/2019,LE16 7GD,F,Y,L,34,AVON HOUSE,WELLAND PLACE,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BF61-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BE1C-5CB0-E053-6B04A8C0F504,141500,25/04/2019,LE16 7GL,F,N,L,17,SWIFT HOUSE,ST MARYS ROAD,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BE1C-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BE1E-5CB0-E053-6B04A8C0F504,210000,16/04/2019,LE16 7GL,F,N,L,19,SWIFT HOUSE,ST MARYS ROAD,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BE1E-5CB0-E053-6B04A8C0F504/current,
8CAC1318-6BED-0253-E053-6B04A8C08E51,824950,24/04/2019,LE16 7GN,S,Y,F,6,NORTHFIELD AVENUE,GREAT BOWDEN,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6BED-0253-E053-6B04A8C08E51/current,
87E1551E-5386-6405-E053-6C04A8C0B2EE,250000,04/04/2019,LE16 7JF,F,N,L,FLAT 3,31,BURNMILL ROAD,MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-5386-6405-E053-6C04A8C0B2EE/current,
