unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"8CAC1318-6ABC-0253-E053-6B04A8C08E51","129500","2019-04-26","CV13 0EF","T","N","F","","2","CHURCH TERRACE","BARLESTONE","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6ABC-0253-E053-6B04A8C08E51/current"
"87E1551E-5448-6405-E053-6C04A8C0B2EE","421000","2019-04-04","CV13 0EH","D","N","F","","41","WASHPIT LANE","BARLESTONE","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-5448-6405-E053-6C04A8C0B2EE/current"
"87E1551E-52FB-6405-E053-6C04A8C0B2EE","210000","2019-04-11","CV13 0HU","D","N","F","","30","BOSWORTH ROAD","BARLESTONE","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-52FB-6405-E053-6C04A8C0B2EE/current"
"87E1551E-542A-6405-E053-6C04A8C0B2EE","200000","2019-04-17","CV13 0HX","S","N","F","","2","AVONDALE ROAD","BARLESTONE","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-542A-6405-E053-6C04A8C0B2EE/current"
"8A78B2AF-BB72-5CB0-E053-6B04A8C0F504","380000","2019-04-10","CV13 0JN","T","N","F","","37","MAIN STREET","MARKET BOSWORTH","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BB72-5CB0-E053-6B04A8C0F504/current"
"87E1551E-53EA-6405-E053-6C04A8C0B2EE","330000","2019-04-02","CV13 0NP","S","N","F","","132","STATION ROAD","MARKET BOSWORTH","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-53EA-6405-E053-6C04A8C0B2EE/current"
"87E1551E-54A0-6405-E053-6C04A8C0B2EE","177500","2019-04-02","CV13 0NW","T","N","F","","24","PIPISTRELLE DRIVE","MARKET BOSWORTH","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-54A0-6405-E053-6C04A8C0B2EE/current"
"87E1551E-555C-6405-E053-6C04A8C0B2EE","157000","2019-04-04","CV13 0PQ","F","N","L","FLAT 5","DAUBENTON HOUSE","PIPISTRELLE DRIVE","MARKET BOSWORTH","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-555C-6405-E053-6C04A8C0B2EE/current"
"98C75472-080F-72E9-E053-6B04A8C042F0","209000","2019-04-18","CV13 0QE","S","N","F","","68","MAIN STREET","NAILSTONE","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/98C75472-080F-72E9-E053-6B04A8C042F0/current"
"8F1B26BD-E230-53DB-E053-6C04A8C03649","529750","2019-04-18","CV13 6ED","D","Y","F","","145","HINCKLEY ROAD","STOKE GOLDING","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E230-53DB-E053-6C04A8C03649/current"
"8A78B2B0-6475-5CB0-E053-6B04A8C0F504","149380","2019-04-26","CV13 6EP","F","N","L","","17","RYELANDS CRESCENT","STOKE GOLDING","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-6475-5CB0-E053-6B04A8C0F504/current"
"8CAC1319-0AF1-0253-E053-6B04A8C08E51","127380","2019-04-26","CV13 6EP","F","N","L","","23","RYELANDS CRESCENT","STOKE GOLDING","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1319-0AF1-0253-E053-6B04A8C08E51/current"
"8CAC1319-0AF0-0253-E053-6B04A8C08E51","149380","2019-04-26","CV13 6EP","F","N","L","","45","RYELANDS CRESCENT","STOKE GOLDING","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1319-0AF0-0253-E053-6B04A8C08E51/current"
"8CAC1319-0AF2-0253-E053-6B04A8C08E51","127380","2019-04-26","CV13 6EP","F","N","L","","51","RYELANDS CRESCENT","STOKE GOLDING","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1319-0AF2-0253-E053-6B04A8C08E51/current"
"8A78B2AF-BF69-5CB0-E053-6B04A8C0F504","524750","2019-04-26","CV13 6EP","D","Y","F","","58","RYELANDS CRESCENT","STOKE GOLDING","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BF69-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BD5D-5CB0-E053-6B04A8C0F504","480000","2019-04-26","CV13 6LG","D","N","F","","1","CROWN MEADOW","CONGERSTONE","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BD5D-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BFBC-5CB0-E053-6B04A8C0F504","185000","2019-04-18","DE11 8AN","D","N","F","","12","SANDTOP CLOSE","BLACKFORDBY","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BFBC-5CB0-E053-6B04A8C0F504/current"
"87E1551E-56D0-6405-E053-6C04A8C0B2EE","300000","2019-04-24","DE11 8AY","D","N","F","","16","HALL CLOSE","BLACKFORDBY","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-56D0-6405-E053-6C04A8C0B2EE/current"
"93E6821E-827F-40FD-E053-6B04A8C0C1DF","160000","2019-04-26","DE11 8FQ","T","N","F","","24","BUTTERFLY GARDENS","WOODVILLE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/93E6821E-827F-40FD-E053-6B04A8C0C1DF/current"
"8CAC1318-6B68-0253-E053-6B04A8C08E51","182500","2019-04-05","DE11 8FY","S","N","F","","11","BLUEBELL GROVE","WOODVILLE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6B68-0253-E053-6B04A8C08E51/current"
"965B6D91-9509-95E4-E053-6C04A8C07729","465995","2019-04-26","DE12 6AR","D","Y","F","","2","SUNFLOWER GROVE","MOIRA","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-9509-95E4-E053-6C04A8C07729/current"
"8A78B2AF-BD52-5CB0-E053-6B04A8C0F504","131750","2019-04-26","DE12 6BE","T","N","F","","30","VIA DEVANA","MOIRA","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BD52-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BC0A-5CB0-E053-6B04A8C0F504","220000","2019-04-30","DE12 6BJ","S","N","F","","33","PARK ROAD","MOIRA","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BC0A-5CB0-E053-6B04A8C0F504/current"
"98C75472-080A-72E9-E053-6B04A8C042F0","243000","2019-04-04","DE12 6DJ","D","N","F","","31A","ASHBY ROAD","MOIRA","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/98C75472-080A-72E9-E053-6B04A8C042F0/current"
"87E1551E-528E-6405-E053-6C04A8C0B2EE","160000","2019-04-01","DE12 6EY","S","N","F","","34","BLACKFORDBY LANE","MOIRA","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-528E-6405-E053-6C04A8C0B2EE/current"
"87E1551E-E532-6405-E053-6C04A8C0B2EE","460000","2019-04-11","DE12 7AD","D","N","F","","THE HAYLOFT, 5","DUCK LAKE","APPLEBY MAGNA","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-E532-6405-E053-6C04A8C0B2EE/current"
"8A78B2B0-6440-5CB0-E053-6B04A8C0F504","220000","2019-04-26","DE12 7BU","D","N","F","","7","POTTERS WAY","MEASHAM","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-6440-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BD4D-5CB0-E053-6B04A8C0F504","367500","2019-04-25","DE12 7DB","D","N","F","","93","MAIN STREET","SNARESTONE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BD4D-5CB0-E053-6B04A8C0F504/current"
"8CAC1318-6BF2-0253-E053-6B04A8C08E51","380000","2019-04-26","DE12 7DZ","D","Y","F","","1","ORCHARD WAY","DONISTHORPE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6BF2-0253-E053-6B04A8C08E51/current"
"8CAC1318-6C23-0253-E053-6B04A8C08E51","300000","2019-04-26","DE12 7DZ","D","Y","F","","4","ORCHARD WAY","DONISTHORPE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6C23-0253-E053-6B04A8C08E51/current"
"87E1551E-53F5-6405-E053-6C04A8C0B2EE","256000","2019-04-18","DE12 7JG","D","N","F","","69","LEICESTER ROAD","MEASHAM","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-53F5-6405-E053-6C04A8C0B2EE/current"
"8A78B2B0-63FB-5CB0-E053-6B04A8C0F504","210000","2019-04-18","DE12 7PD","S","N","F","","36","AMERSHAM WAY","MEASHAM","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-63FB-5CB0-E053-6B04A8C0F504/current"
"87E1551E-E523-6405-E053-6C04A8C0B2EE","190000","2019-04-15","DE12 7PD","D","N","F","","42","AMERSHAM WAY","MEASHAM","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-E523-6405-E053-6C04A8C0B2EE/current"
"8A78B2B0-63FD-5CB0-E053-6B04A8C0F504","130000","2019-04-02","DE12 7PD","T","N","F","","46","AMERSHAM WAY","MEASHAM","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-63FD-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BCE8-5CB0-E053-6B04A8C0F504","160000","2019-04-18","DE12 7QT","S","N","F","","2A","CHAPEL STREET","OAKTHORPE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BCE8-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BD83-5CB0-E053-6B04A8C0F504","127000","2019-04-25","DE12 7RE","T","N","F","","6","SCHOOL STREET","OAKTHORPE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BD83-5CB0-E053-6B04A8C0F504/current"
"8A78B2B0-6425-5CB0-E053-6B04A8C0F504","350000","2019-04-26","DE12 7RF","D","N","F","","22","MEASHAM ROAD","OAKTHORPE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-6425-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BD2D-5CB0-E053-6B04A8C0F504","232500","2019-04-26","DE12 7RT","D","N","F","","9","COWSLIP CLOSE","DONISTHORPE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BD2D-5CB0-E053-6B04A8C0F504/current"
"8F1B26BD-E268-53DB-E053-6C04A8C03649","248395","2019-04-12","DE12 7RZ","S","Y","F","","8 THE OLD STABLES","MEASHAM ROAD","OAKTHORPE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E268-53DB-E053-6C04A8C03649/current"
"8CAC1318-6C3B-0253-E053-6B04A8C08E51","279995","2019-04-25","DE12 7RZ","D","Y","F","","3","THE OLD STABLES","OAKTHORPE","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6C3B-0253-E053-6B04A8C08E51/current"
"8A78B2AF-BE46-5CB0-E053-6B04A8C0F504","145000","2019-04-03","DE12 7SB","D","N","F","","2","PICKERINGS AVENUE","MEASHAM","SWADLINCOTE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BE46-5CB0-E053-6B04A8C0F504/current"
"93E6821E-801D-40FD-E053-6B04A8C0C1DF","415000","2019-04-24","DE73 8AN","T","N","F","","30","MAIN STREET","BREEDON ON THE HILL","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/93E6821E-801D-40FD-E053-6B04A8C0C1DF/current"
"8A78B2AF-BDED-5CB0-E053-6B04A8C0F504","362000","2019-04-30","DE74 2AB","T","N","F","THE OLD FORGE","2 DALEACRE COURT","MAIN STREET","LOCKINGTON","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BDED-5CB0-E053-6B04A8C0F504/current"
"8F1B26BD-E164-53DB-E053-6C04A8C03649","157500","2019-04-12","DE74 2AY","S","N","F","","27","PRITCHARD DRIVE","KEGWORTH","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E164-53DB-E053-6C04A8C03649/current"
"87E1551E-5514-6405-E053-6C04A8C0B2EE","200000","2019-04-10","DE74 2AZ","S","N","F","","64","PRITCHARD DRIVE","KEGWORTH","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-5514-6405-E053-6C04A8C0B2EE/current"
"8A78B2B0-63B3-5CB0-E053-6B04A8C0F504","165000","2019-04-26","DE74 2ES","S","N","F","","5","WYVELLE CRESCENT","KEGWORTH","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-63B3-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BD30-5CB0-E053-6B04A8C0F504","127000","2019-04-12","DE74 2FT","S","N","F","","20","NEW STREET","KEGWORTH","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BD30-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BE9E-5CB0-E053-6B04A8C0F504","240000","2019-04-26","DE74 2GA","D","N","F","","WILLOWS FARM","LONG LANE","KEGWORTH","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BE9E-5CB0-E053-6B04A8C0F504/current"
"919FEC05-7007-9A90-E053-6C04A8C0A300","130000","2019-04-01","DE74 2GN","F","N","L","","23","UPTON CLOSE","CASTLE DONINGTON","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-7007-9A90-E053-6C04A8C0A300/current"
"8A78B2AF-BCCB-5CB0-E053-6B04A8C0F504","179000","2019-04-16","DE74 2LE","T","N","F","","22","CLAPGUN STREET","CASTLE DONINGTON","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BCCB-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BB4C-5CB0-E053-6B04A8C0F504","183000","2019-04-18","DE74 2LE","T","N","F","","29","CLAPGUN STREET","CASTLE DONINGTON","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BB4C-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BD6B-5CB0-E053-6B04A8C0F504","205000","2019-04-18","DE74 2NZ","D","N","F","","16","RADFORD MEADOW","CASTLE DONINGTON","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BD6B-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BC03-5CB0-E053-6B04A8C0F504","372500","2019-04-05","DE74 2RX","D","N","F","","41","TOWLES PASTURES","CASTLE DONINGTON","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BC03-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BB8C-5CB0-E053-6B04A8C0F504","275000","2019-04-18","DE74 2SU","D","N","F","","11","HAULTON DRIVE","CASTLE DONINGTON","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BB8C-5CB0-E053-6B04A8C0F504/current"
"8A78B2AF-BE59-5CB0-E053-6B04A8C0F504","178000","2019-04-30","DE74 2UJ","T","N","F","","20","VULCAN WAY","CASTLE DONINGTON","DERBY","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BE59-5CB0-E053-6B04A8C0F504/current"
